onset	duration	begsample	endsample	offset	type
15.8	0.105	3161	3181	0	stimulation
16.77	0.105	3355	3375	0	stimulation
17.74	0.105	3549	3569	0	stimulation
33.345	0.105	6670	6690	0	stimulation
34.315	0.105	6864	6884	0	stimulation
34.74	0.105	6949	6969	0	stimulation
36.35	0.105	7271	7291	0	stimulation
62.19	0.105	12439	12459	0	stimulation
63.8	0.105	12761	12781	0	stimulation
79.595	0.105	15920	15940	0	stimulation
81.105	0.105	16222	16242	0	stimulation
82.075	0.105	16416	16436	0	stimulation
83.045	0.105	16610	16630	0	stimulation
84.015	0.105	16804	16824	0	stimulation
