onset	duration	begsample	endsample	offset	type
19.81	0.105	3963	3983	0	stimulation
20.19	0.105	4039	4059	0	stimulation
20.57	0.105	4115	4135	0	stimulation
20.95	0.105	4191	4211	0	stimulation
30.94	0.105	6189	6209	0	stimulation
31.32	0.105	6265	6285	0	stimulation
31.7	0.105	6341	6361	0	stimulation
32.08	0.105	6417	6437	0	stimulation
47.19	0.105	9439	9459	0	stimulation
47.57	0.105	9515	9535	0	stimulation
62.035	0.105	12408	12428	0	stimulation
62.415	0.105	12484	12504	0	stimulation
62.795	0.105	12560	12580	0	stimulation
63.03	0.105	12607	12627	0	stimulation
