onset	duration	begsample	endsample	offset	type
23.045	0.105	4610	4630	0	stimulation
23.425	0.105	4686	4706	0	stimulation
23.805	0.105	4762	4782	0	stimulation
24.185	0.105	4838	4858	0	stimulation
41.695	0.105	8340	8360	0	stimulation
42.075	0.105	8416	8436	0	stimulation
42.455	0.105	8492	8512	0	stimulation
42.835	0.105	8568	8588	0	stimulation
61.625	0.105	12326	12346	0	stimulation
65.53	0.105	13107	13127	0	stimulation
65.91	0.105	13183	13203	0	stimulation
66.29	0.105	13259	13279	0	stimulation
66.67	0.105	13335	13355	0	stimulation
