name	type	units	low_cutoff	high_cutoff	sampling_frequency	description
EEG001,4+,1-	DBS	uV	1.5	159	200	Left-Hippocampal
EEG002,1+,2-	DBS	uV	1.5	159	200	Right-Hippocampal
