onset	duration	begsample	endsample	offset	type
2.885	0.105	578	598	0	stimulation
3.535	0.105	708	728	0	stimulation
4.185	0.105	838	858	0	stimulation
4.835	0.105	968	988	0	stimulation
5.485	0.105	1098	1118	0	stimulation
29.305	0.105	5862	5882	0	stimulation
29.955	0.105	5992	6012	0	stimulation
31.245	0.105	6250	6270	0	stimulation
62.505	0.105	12502	12522	0	stimulation
63.155	0.105	12632	12652	0	stimulation
63.805	0.105	12762	12782	0	stimulation
64.4549	0.105	12891.98	12911.98	0	stimulation
73.75	0.105	14751	14771	0	stimulation
74.4	0.105	14881	14901	0	stimulation
