onset	duration	begsample	endsample	offset	type
7.17	0.105	1435	1455	0	stimulation
8.225	0.105	1646	1666	0	stimulation
9.28	0.105	1857	1877	0	stimulation
10.335	0.105	2068	2088	0	stimulation
11.39	0.105	2279	2299	0	stimulation
31.01	0.105	6203	6223	0	stimulation
32.065	0.105	6414	6434	0	stimulation
33.12	0.105	6625	6645	0	stimulation
34.175	0.105	6836	6856	0	stimulation
35.23	0.105	7047	7067	0	stimulation
72.855	0.105	14572	14592	0	stimulation
73.91	0.105	14783	14803	0	stimulation
74.965	0.105	14994	15014	0	stimulation
76.02	0.105	15205	15225	0	stimulation
77.075	0.105	15416	15436	0	stimulation
