onset	duration	begsample	endsample	offset	type
3.33	0.105	667	687	0	stimulation
3.71	0.105	743	763	0	stimulation
4.0899	0.105	818.98	838.98	0	stimulation
4.47	0.105	895	915	0	stimulation
26.46	0.105	5293	5313	0	stimulation
26.84	0.105	5369	5389	0	stimulation
27.22	0.105	5445	5465	0	stimulation
27.6	0.105	5521	5541	0	stimulation
35.67	0.105	7135	7155	0	stimulation
36.05	0.105	7211	7231	0	stimulation
62.035	0.105	12408	12428	0	stimulation
62.415	0.105	12484	12504	0	stimulation
62.795	0.105	12560	12580	0	stimulation
63.175	0.105	12636	12656	0	stimulation
