onset	duration	begsample	endsample	offset	type
8.415	0.105	1684	1704	0	stimulation
8.795	0.105	1760	1780	0	stimulation
9.02	0.105	1805	1825	0	stimulation
9.4	0.105	1881	1901	0	stimulation
18.585	0.105	3718	3738	0	stimulation
18.965	0.105	3794	3814	0	stimulation
19.345	0.105	3870	3890	0	stimulation
19.725	0.105	3946	3966	0	stimulation
33.395	0.105	6680	6700	0	stimulation
33.775	0.105	6756	6776	0	stimulation
34.155	0.105	6832	6852	0	stimulation
34.385	0.105	6878	6898	0	stimulation
62.445	0.105	12490	12510	0	stimulation
62.825	0.105	12566	12586	0	stimulation
63.205	0.105	12642	12662	0	stimulation
63.435	0.105	12688	12708	0	stimulation
82.215	0.105	16444	16464	0	stimulation
82.595	0.105	16520	16540	0	stimulation
82.82	0.105	16565	16585	0	stimulation
83.195	0.105	16640	16660	0	stimulation
