onset	duration	begsample	endsample	offset	type
2.19	0.105	439	459	0	stimulation
2.57	0.105	515	535	0	stimulation
20.395	0.105000000000002	4080	4100	0	stimulation
20.775	0.105	4156	4176	0	stimulation
34.77	0.105	6955	6975	0	stimulation
35.15	0.105	7031	7051	0	stimulation
35.53	0.105	7107	7127	0	stimulation
35.91	0.105	7183	7203	0	stimulation
39.015	0.105	7804	7824	0	stimulation
39.395	0.105	7880	7900	0	stimulation
39.775	0.105	7956	7976	0	stimulation
62.24	0.105	12449	12469	0	stimulation
62.62	0.105	12525	12545	0	stimulation
63	0.105	12601	12621	0	stimulation
63.38	0.105	12677	12697	0	stimulation
