onset	duration	begsample	endsample	offset	type
2.11	0.105	423	443	0	stimulation
14.96	0.105	2993	3013	0	stimulation
15.965	0.105	3194	3214	0	stimulation
16.97	0.105	3395	3415	0	stimulation
17.665	0.105	3534	3554	0	stimulation
18.66	0.105	3733	3753	0	stimulation
33.435	0.105	6688	6708	0	stimulation
34.44	0.105	6889	6909	0	stimulation
36.095	0.105	7220	7240	0	stimulation
50.86	0.105	10173	10193	0	stimulation
51.865	0.105	10374	10394	0	stimulation
52.87	0.105	10575	10595	0	stimulation
53.57	0.105	10715	10735	0	stimulation
54.56	0.105	10913	10933	0	stimulation
