onset	duration	begsample	endsample	offset	type
4.285	0.105	858	878	0	stimulation
5.63	0.105	1127	1147	0	stimulation
10.655	0.105	2132	2152	0	stimulation
11.035	0.105	2208	2228	0	stimulation
11.26	0.105	2253	2273	0	stimulation
11.635	0.105	2328	2348	0	stimulation
20.665	0.105	4134	4154	0	stimulation
21.045	0.105	4210	4230	0	stimulation
21.425	0.105	4286	4306	0	stimulation
21.655	0.105	4332	4352	0	stimulation
62.035	0.105	12408	12428	0	stimulation
62.415	0.105	12484	12504	0	stimulation
62.795	0.105	12560	12580	0	stimulation
63.175	0.105	12636	12656	0	stimulation
72.045	0.105	14410	14430	0	stimulation
72.425	0.105	14486	14506	0	stimulation
72.65	0.105	14531	14551	0	stimulation
73.03	0.105	14607	14627	0	stimulation
82.695	0.105	16540	16560	0	stimulation
83.075	0.105	16616	16636	0	stimulation
83.455	0.105	16692	16712	0	stimulation
83.835	0.105	16768	16788	0	stimulation
