onset	duration	begsample	endsample	offset	type
4.845	0.105	970	990	0	stimulation
5.495	0.105	1100	1120	0	stimulation
6.145	0.105	1230	1250	0	stimulation
6.795	0.105	1360	1380	0	stimulation
33.37	0.105	6675	6695	0	stimulation
34.02	0.105	6805	6825	0	stimulation
61.875	0.105	12376	12396	0	stimulation
62.525	0.105	12506	12526	0	stimulation
63.175	0.105	12636	12656	0	stimulation
63.825	0.105	12766	12786	0	stimulation
81.44	0.105	16289	16309	0	stimulation
82.09	0.105	16419	16439	0	stimulation
83.06	0.105	16613	16633	0	stimulation
