onset	duration	begsample	endsample	offset	type
14.405	0.105	2882	2902	0	stimulation
15.05	0.105	3011	3031	0	stimulation
15.695	0.105	3140	3160	0	stimulation
16.3399	0.105	3268.98	3288.98	0	stimulation
43.875	0.105	8776	8796	0	stimulation
44.52	0.105	8905	8925	0	stimulation
45.165	0.105	9034	9054	0	stimulation
45.81	0.105	9163	9183	0	stimulation
62.465	0.105	12494	12514	0	stimulation
63.11	0.105	12623	12643	0	stimulation
65.04	0.105	13009	13029	0	stimulation
84.89	0.105	16979	16999	0	stimulation
85.535	0.105	17108	17128	0	stimulation
86.18	0.105	17237	17257	0	stimulation
86.825	0.105	17366	17386	0	stimulation
