onset	duration	begsample	endsample	offset	type
9.32	0.105	1865	1885	0	stimulation
16.3749	0.105	3275.98	3295.98	0	stimulation
24.71	0.105	4943	4963	0	stimulation
25.36	0.105	5073	5093	0	stimulation
26.65	0.105	5331	5351	0	stimulation
27.3	0.105	5461	5481	0	stimulation
61.875	0.105	12376	12396	0	stimulation
62.525	0.105	12506	12526	0	stimulation
63.175	0.105	12636	12656	0	stimulation
63.825	0.105	12766	12786	0	stimulation
81.76	0.105	16353	16373	0	stimulation
82.41	0.105	16483	16503	0	stimulation
83.385	0.105	16678	16698	0	stimulation
